"simfile","sample","mean_mu","sd_mu","mu_ci_lower","mu_ci_upper"
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_12_10.json",51662,0.411940193315663,0.0181827213370729,0.37634370074567,0.446382061244146
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_12_15.json",76954,0.390361215704007,0.0142897839702694,0.362383766880333,0.419731443291933
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_12_20.json",82213,0.414094439404223,0.0114985709673193,0.391780531441246,0.436525225722376
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_18_10.json",28750,0.470294119013,0.0161596895829085,0.438344313186548,0.502642698290032
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_18_15.json",89103,0.389889180896145,0.0118991834632628,0.366234070816259,0.412435562943047
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_18_20.json",56115,0.416704437722386,0.0103599346267032,0.396605941988995,0.437139161501698
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_24_10.json",77119,0.382226638572375,0.0130976895856767,0.356391843252177,0.406978274174389
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_24_15.json",47823,0.400619041365947,0.010672522612492,0.380144811752603,0.421421509235523
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_24_20.json",48288,0.406881487558239,0.00888935561602209,0.389005439500237,0.424065163993794
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_12_10.json",89927,0.405882990025412,0.0173682713094907,0.372075452934031,0.441185840889777
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_12_15.json",38939,0.487076220806603,0.01624597414076,0.455663161645099,0.519596132360994
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_12_20.json",92450,0.414219966683783,0.0129550065422342,0.389234657090429,0.438269717565645
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_18_10.json",49385,0.40671212503372,0.0150062742920023,0.377455064195027,0.436641261585214
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_18_15.json",32571,0.503579690513988,0.0125871765520653,0.479180250373825,0.528363913517114
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_18_20.json",72736,0.482864886876982,0.0111734712243522,0.460901304161123,0.504403972247802
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_24_10.json",94426,0.35777644951342,0.0112166121821601,0.335073884641841,0.379197930912441
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_24_15.json",87260,0.369690069247842,0.00968263184211927,0.350714783493897,0.38859155458278
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_cat_random_24_20.json",97457,0.423508813433204,0.00942530356122289,0.405001280234351,0.441518447836387
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_emo.json",23778,0.654872486970103,0.0152847480733128,0.624779773886226,0.684227455359041
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_12_10.json",61077,0.427134493285343,0.0184468234680434,0.389456200297544,0.462052605355587
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_12_15.json",6916,0.453153986763873,0.0141700840613302,0.42536320464637,0.48158218337214
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_12_20.json",84266,0.400835153300226,0.0127781207579854,0.375304324469791,0.425419002363377
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_18_10.json",46652,0.533731148290961,0.0158036797521288,0.503413329834858,0.564420674631707
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_18_15.json",7926,0.395868824733029,0.0120505325296449,0.372493774822134,0.419281256613385
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_18_20.json",85296,0.518320677733424,0.0109556462484241,0.496729026847816,0.539163110774852
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_24_10.json",98745,0.43975855526126,0.013015262102448,0.414131601668281,0.465307068560617
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_24_15.json",54486,0.451314030743054,0.0117213968209156,0.428279422806303,0.474639255098575
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_pos_24_20.json",88723,0.444802881321481,0.00987048858374412,0.42441119281932,0.463774059825866
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_12_10.json",59177,0.536248638523343,0.0192986695980577,0.498099106819283,0.573502024889359
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_12_15.json",61995,0.505983296210799,0.0159251093038924,0.473448540162751,0.536966666541389
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_12_20.json",26979,0.502861079000893,0.0133153157522836,0.477212997658862,0.528307606376719
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_18_10.json",96556,0.5033633231438,0.0152632657246466,0.472565447336092,0.53250614734617
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_18_15.json",95681,0.540737785965532,0.0120127359528537,0.516457878345453,0.564662452962972
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_18_20.json",37676,0.474040994099276,0.0115569937476264,0.450829610818856,0.497339702120718
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_24_10.json",16967,0.524132055121073,0.0135550291764025,0.498084916365187,0.550566941766366
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_24_15.json",90918,0.499594720370864,0.0110738861426962,0.478983709245733,0.520986140973778
"F:/FLESH_Expressibility_vs_guessability/03_Simulations/datasets/simulation_results/exp_semcat_24_20.json",68069,0.482678083532439,0.00956450676955558,0.463222035718806,0.500879309693193
